25/10/19 16:03,VFL Copenhagen  -  VFL Brussels,0:00,2:00,1,Season 61889
25/10/19 16:03,VFL Amsterdam  -  VFL Edinburgh,1:00,1:00,1,Season 61889
25/10/19 16:03,VFL Oslo  -  VFL Berlin,2:00,2:02,1,Season 61889
25/10/19 16:03,VFL Athens  -  VFL Ankara,1:00,1:00,1,Season 61889
25/10/19 16:03,VFL Rome  -  VFL Lisbon,0:00,3:00,1,Season 61889
25/10/19 16:03,VFL London  -  VFL Vienna,1:00,2:00,1,Season 61889
25/10/19 16:03,VFL Stockholm  -  VFL Bern,0:01,4:02,1,Season 61889
25/10/19 16:03,VFL Madrid  -  VFL Paris,0:01,1:01,1,Season 61889
25/10/19 16:08,VFL Brussels  -  VFL Athens,0:00,1:01,2,Season 61889
25/10/19 16:08,VFL Paris  -  VFL Oslo,1:01,1:01,2,Season 61889
25/10/19 16:08,VFL Ankara  -  VFL Rome,1:01,1:02,2,Season 61889
25/10/19 16:08,VFL Vienna  -  VFL Copenhagen,0:00,1:00,2,Season 61889
25/10/19 16:08,VFL Bern  -  VFL London,1:04,1:04,2,Season 61889
25/10/19 16:08,VFL Edinburgh  -  VFL Stockholm,0:00,0:01,2,Season 61889
25/10/19 16:08,VFL Lisbon  -  VFL Madrid,0:00,1:01,2,Season 61889
25/10/19 16:08,VFL Berlin  -  VFL Amsterdam,1:00,3:00,2,Season 61889
25/10/19 16:12,VFL Rome  -  VFL Brussels,2:00,3:01,3,Season 61889
25/10/19 16:12,VFL Stockholm  -  VFL Berlin,0:01,0:03,3,Season 61889
25/10/19 16:12,VFL Amsterdam  -  VFL Paris,0:00,1:00,3,Season 61889
25/10/19 16:12,VFL Edinburgh  -  VFL Bern,1:00,2:02,3,Season 61889
25/10/19 16:12,VFL Copenhagen  -  VFL London,1:02,1:02,3,Season 61889
25/10/19 16:12,VFL Oslo  -  VFL Lisbon,1:02,2:02,3,Season 61889
25/10/19 16:12,VFL Athens  -  VFL Vienna,2:01,2:03,3,Season 61889
25/10/19 16:12,VFL Madrid  -  VFL Ankara,0:00,2:00,3,Season 61889
25/10/19 16:17,VFL Brussels  -  VFL Madrid,1:00,1:00,4,Season 61889
25/10/19 16:17,VFL Bern  -  VFL Copenhagen,1:02,1:02,4,Season 61889
25/10/19 16:17,VFL Paris  -  VFL Stockholm,1:01,1:01,4,Season 61889
25/10/19 16:17,VFL Lisbon  -  VFL Amsterdam,1:00,2:00,4,Season 61889
25/10/19 16:17,VFL Berlin  -  VFL Edinburgh,1:00,1:02,4,Season 61889
25/10/19 16:17,VFL Vienna  -  VFL Rome,0:00,0:00,4,Season 61889
25/10/19 16:17,VFL London  -  VFL Athens,0:00,0:00,4,Season 61889
25/10/19 16:17,VFL Ankara  -  VFL Oslo,0:02,0:02,4,Season 61889
25/10/19 16:21,VFL Oslo  -  VFL Brussels,2:01,4:01,5,Season 61889
25/10/19 16:21,VFL Stockholm  -  VFL Lisbon,1:00,3:02,5,Season 61889
25/10/19 16:21,VFL Rome  -  VFL London,0:00,0:01,5,Season 61889
25/10/19 16:21,VFL Edinburgh  -  VFL Paris,0:00,2:00,5,Season 61889
25/10/19 16:21,VFL Athens  -  VFL Copenhagen,1:01,2:01,5,Season 61889
25/10/19 16:21,VFL Amsterdam  -  VFL Ankara,3:02,4:02,5,Season 61889
25/10/19 16:21,VFL Madrid  -  VFL Vienna,2:01,5:01,5,Season 61889
25/10/19 16:21,VFL Berlin  -  VFL Bern,0:00,1:01,5,Season 61889
25/10/19 16:26,VFL Ankara  -  VFL Stockholm,0:00,2:01,6,Season 61889
25/10/19 16:26,VFL Lisbon  -  VFL Edinburgh,2:00,5:01,6,Season 61889
25/10/19 16:26,VFL Paris  -  VFL Berlin,1:03,1:04,6,Season 61889
25/10/19 16:26,VFL Copenhagen  -  VFL Rome,0:02,1:02,6,Season 61889
25/10/19 16:26,VFL Vienna  -  VFL Oslo,0:00,0:00,6,Season 61889
25/10/19 16:26,VFL London  -  VFL Madrid,0:01,0:03,6,Season 61889
25/10/19 16:26,VFL Bern  -  VFL Athens,0:00,0:00,6,Season 61889
25/10/19 16:26,VFL Brussels  -  VFL Amsterdam,1:00,1:01,6,Season 61889
25/10/19 16:31,VFL Stockholm  -  VFL Brussels,0:00,0:01,7,Season 61889
25/10/19 16:31,VFL Paris  -  VFL Bern,1:00,2:00,7,Season 61889
25/10/19 16:31,VFL Edinburgh  -  VFL Ankara,1:01,2:01,7,Season 61889
